artist_name,artist_genre
Sigur Rós,"chamber pop, compositional ambient, dream pop, ethereal wave, icelandic rock, indie rock, melancholia, nordic post-rock, post-rock"
The Pussycat Dolls,"dance pop, girl group, pop"
James Blunt,neo mellow
Rise Against,"alternative metal, chicago hardcore, chicago punk, hardcore punk, modern rock, pop punk, post-grunge, punk"
Phoenix,"alternative dance, indie rock, modern rock, neo-synthpop, new rave, rock independant francais, shimmer pop"
Miley Cyrus,pop
The Game,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap"
Lupe Fiasco,"chicago rap, conscious hip hop, hip hop, political hip hop, pop rap, rap, southern hip hop"
No Doubt,"dance pop, dance rock, permanent wave, pop rock, rock"
Bob Marley & The Wailers,"reggae, roots reggae"
Röyksopp,"downtempo, electronica, indietronica, neo-synthpop, trip hop"
Pitbull,"dance pop, miami hip hop, pop"
Breaking Benjamin,"alternative metal, nu metal, post-grunge"
The All-American Rejects,"alternative metal, modern rock, neo mellow, neon pop punk, pop punk, pop rock, post-grunge"
Bon Iver,"chamber pop, eau claire indie, indie folk, melancholia, modern rock"
The Velvet Underground,"alternative rock, melancholia, permanent wave, protopunk, rock"
Joy Division,"alternative rock, indie rock, madchester, new wave, post-punk, punk, rock, uk post-punk"
Feist,"art pop, canadian indie, canadian pop, chamber pop, indie pop, indie rock"
Leslie Feist,hip hop
Counting Crows,"neo mellow, pop rock, post-grunge, rock"
Kylie Minogue,"australian dance, australian pop, dance pop, eurodance, new wave pop"
Sufjan Stevens,"art pop, baroque pop, chamber pop, indie pop, indie rock, singer-songwriter"
Artist Vs Poet,"alternative pop rock, neon pop punk, pop emo, texas pop punk"
Alice In Chains,"alternative metal, alternative rock, grunge, hard rock, nu metal, rock"
Ludacris,"atl hip hop, dance pop, dirty south rap, hip hop, old school atlanta hip hop, pop rap, rap, southern hip hop, trap"
Fatboy Slim,"big beat, electronica"
Ellie Goulding,"indietronica, metropopolis, pop, uk pop"
The xx,"downtempo, dream pop, indietronica"
Lynyrd Skynyrd,"album rock, classic rock, hard rock, rock, southern rock"
Marvin Gaye,"classic soul, motown, neo soul, northern soul, quiet storm, soul, vocal jazz"
Dido,"dance pop, europop, lilith, neo mellow, pop rock"
Nelly,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary"
M83,"french shoegaze, french synthpop, indietronica, metropopolis, neo-synthpop"
Timbaland,"dance pop, pop, pop rap"
Soundgarden,"alternative metal, alternative rock, classic rock, grunge, hard rock, nu metal, rock"
Lana Del Rey,"art pop, pop"
Jason Derulo,"dance pop, pop"
Robbie Williams,"dance rock, europop, talent show"
Alanis Morissette,"canadian pop, canadian singer-songwriter, lilith, neo mellow, pop rock, singer-songwriter"
Bruno Mars,"dance pop, pop"
Cream,"album rock, blues rock, british blues, classic rock, folk rock, hard rock, psychedelic rock, rock, singer-songwriter, supergroup"
Bright Eyes,"chamber pop, indie rock, melancholia, omaha indie, stomp and holler"
Ludwig van Beethoven,"classical, classical era, early romantic era, german romanticism"
Regina Spektor,"indie pop, lilith, piano rock"
The Postal Service,"chamber pop, indie rock, indietronica, seattle indie"
Meghan Trainor,"hip pop, pop"
Phil Collins,"rock drums, soft rock"
M.I.A.,"escape room, indietronica, new rave"
Ramones,"alternative rock, early us punk, permanent wave, punk, rock"
Fergie,"dance pop, pop"
Michael Bublé,"adult standards, canadian pop, jazz pop, lounge"
New Order,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk"
Rammstein,"german metal, industrial, industrial metal, industrial rock, neue deutsche harte"
Mumford & Sons,"modern folk rock, modern rock, neo mellow, stomp and holler, uk americana"
"Destiny's Child, Solange",hip hop
Lenny Kravitz,"permanent wave, rock"
Good Charlotte,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge"
Nina Simone,"jazz blues, neo soul, soul, soul jazz, torch song, vocal jazz"
Bullet For My Valentine,"alternative metal, melodic metalcore, nu metal, post-grunge, uk metalcore, welsh metal"
Prince The Artist Singh,hip hop
Van Halen,"album rock, classic rock, hard rock, rock"
Hoobastank,"alternative metal, funk metal, nu metal, pop rock, post-grunge"
Ozzy Osbourne,"album rock, alternative metal, birmingham metal, classic rock, glam metal, hard rock, metal, rock"
